ts	cluster_label	model_version	f_temp_out	f_out_hum	f_bar	f_wind_speed	f_rain_rate	f_solar_rad	f_uv_index
2024-11-16 05:30:00+00:00	2	pca3_kmeans_v1	11.0	87.0	1015.2	0.0	0.0	0.0	0.0
2024-11-16 06:00:00+00:00	2	pca3_kmeans_v1	11.1	86.0	1015.3	0.0	0.0	0.0	0.0
2024-11-16 06:30:00+00:00	2	pca3_kmeans_v1	10.9	87.0	1015.0	0.0	0.0	0.0	0.0
2024-11-16 07:00:00+00:00	2	pca3_kmeans_v1	10.9	89.0	1015.1	0.0	0.0	0.0	0.0
2024-11-16 07:30:00+00:00	2	pca3_kmeans_v1	10.8	91.0	1015.3	0.0	0.0	0.0	0.0
2024-11-16 08:00:00+00:00	2	pca3_kmeans_v1	10.8	89.0	1015.4	0.0	0.0	4.0	0.0
2024-11-16 08:30:00+00:00	2	pca3_kmeans_v1	10.9	88.0	1015.4	0.0	0.0	20.0	0.0
2024-11-16 09:00:00+00:00	2	pca3_kmeans_v1	10.4	84.0	1015.3	0.0	0.0	43.0	0.0
2024-11-16 09:30:00+00:00	2	pca3_kmeans_v1	10.1	84.0	1015.5	0.0	0.0	93.0	0.0
2024-11-16 10:00:00+00:00	2	pca3_kmeans_v1	9.6	86.0	1015.6	0.0	0.0	90.0	0.4
2024-11-16 10:30:00+00:00	2	pca3_kmeans_v1	9.8	83.0	1015.7	0.0	0.0	133.0	0.5
2024-11-16 11:00:00+00:00	3	pca3_kmeans_v1	9.7	73.0	1015.5	0.0	0.0	187.0	0.8
2024-11-16 11:30:00+00:00	3	pca3_kmeans_v1	9.9	70.0	1015.2	0.0	0.0	204.0	0.9
2024-11-16 12:00:00+00:00	3	pca3_kmeans_v1	10.0	72.0	1014.8	0.0	0.0	209.0	0.9
2024-11-16 12:30:00+00:00	3	pca3_kmeans_v1	9.7	74.0	1014.5	0.0	0.0	199.0	0.9
2024-11-16 13:00:00+00:00	2	pca3_kmeans_v1	9.6	73.0	1014.8	0.0	0.0	65.0	0.3
2024-11-16 13:30:00+00:00	2	pca3_kmeans_v1	9.7	74.0	1014.4	0.0	0.0	83.0	0.4
2024-11-16 14:00:00+00:00	2	pca3_kmeans_v1	9.6	72.0	1014.1	0.0	0.0	90.0	0.5
2024-11-16 14:30:00+00:00	2	pca3_kmeans_v1	9.6	73.0	1013.9	0.0	0.0	82.0	0.1
2024-11-16 15:00:00+00:00	2	pca3_kmeans_v1	9.3	74.0	1013.8	0.0	0.0	69.0	0.0
2024-11-16 15:30:00+00:00	2	pca3_kmeans_v1	8.8	77.0	1014.1	0.0	0.0	27.0	0.0
2024-11-16 16:00:00+00:00	2	pca3_kmeans_v1	8.3	78.0	1014.0	0.0	0.0	13.0	0.0
2024-11-16 16:30:00+00:00	2	pca3_kmeans_v1	8.2	79.0	1013.9	0.0	0.0	0.0	0.0
2024-11-16 17:00:00+00:00	2	pca3_kmeans_v1	7.9	80.0	1014.0	0.0	0.0	0.0	0.0
2024-11-16 17:30:00+00:00	2	pca3_kmeans_v1	7.8	80.0	1013.9	0.0	0.0	0.0	0.0
2024-11-16 18:00:00+00:00	2	pca3_kmeans_v1	7.8	79.0	1014.1	0.0	0.0	0.0	0.0
2024-11-16 18:30:00+00:00	2	pca3_kmeans_v1	7.5	83.0	1014.1	0.0	0.0	0.0	0.0
2024-11-16 19:00:00+00:00	2	pca3_kmeans_v1	7.5	83.0	1013.8	0.0	0.0	0.0	0.0
2024-11-16 19:30:00+00:00	2	pca3_kmeans_v1	7.3	83.0	1013.8	0.0	0.0	0.0	0.0
2024-11-16 20:00:00+00:00	2	pca3_kmeans_v1	7.4	83.0	1013.8	0.0	0.0	0.0	0.0
2024-11-16 20:30:00+00:00	2	pca3_kmeans_v1	7.2	84.0	1013.7	0.0	0.0	0.0	0.0
2024-11-16 21:00:00+00:00	2	pca3_kmeans_v1	7.1	82.0	1013.3	0.0	0.0	0.0	0.0
2024-11-16 21:30:00+00:00	2	pca3_kmeans_v1	7.1	81.0	1013.2	0.0	0.0	0.0	0.0
2024-11-16 22:00:00+00:00	2	pca3_kmeans_v1	7.1	80.0	1013.4	0.0	0.0	0.0	0.0
2024-11-16 22:30:00+00:00	2	pca3_kmeans_v1	7.1	80.0	1013.3	0.0	0.0	0.0	0.0
2024-11-16 23:00:00+00:00	2	pca3_kmeans_v1	6.9	79.0	1013.2	0.0	0.0	0.0	0.0
2024-11-16 23:30:00+00:00	2	pca3_kmeans_v1	6.9	78.0	1013.1	0.0	0.0	0.0	0.0
2024-11-17 00:00:00+00:00	2	pca3_kmeans_v1	6.6	81.0	1013.2	0.0	0.0	0.0	0.0
2024-11-17 00:30:00+00:00	2	pca3_kmeans_v1	6.3	80.0	1013.1	0.0	0.0	0.0	0.0
2024-11-17 01:00:00+00:00	2	pca3_kmeans_v1	6.2	80.0	1013.3	0.0	0.0	0.0	0.0
2024-11-17 01:30:00+00:00	2	pca3_kmeans_v1	6.1	81.0	1013.1	0.0	0.0	0.0	0.0
2024-11-17 02:00:00+00:00	2	pca3_kmeans_v1	5.9	81.0	1012.9	0.0	0.0	0.0	0.0
2024-11-17 02:30:00+00:00	2	pca3_kmeans_v1	5.8	79.0	1012.9	0.0	0.0	0.0	0.0
2024-11-17 03:00:00+00:00	2	pca3_kmeans_v1	5.3	79.0	1012.7	0.0	0.0	0.0	0.0
2024-11-17 03:30:00+00:00	2	pca3_kmeans_v1	5.3	78.0	1012.9	0.0	0.0	0.0	0.0
2024-11-17 04:00:00+00:00	2	pca3_kmeans_v1	4.9	76.0	1013.1	0.0	0.0	0.0	0.0
2024-11-17 04:30:00+00:00	2	pca3_kmeans_v1	4.6	78.0	1012.9	0.0	0.0	0.0	0.0
2024-11-17 05:00:00+00:00	2	pca3_kmeans_v1	4.6	76.0	1012.9	0.0	0.0	0.0	0.0
2024-11-17 05:30:00+00:00	2	pca3_kmeans_v1	4.7	74.0	1012.7	0.0	0.0	0.0	0.0
2024-11-17 06:00:00+00:00	2	pca3_kmeans_v1	4.9	72.0	1012.8	0.0	0.0	0.0	0.0
2024-11-17 06:30:00+00:00	2	pca3_kmeans_v1	4.5	74.0	1012.9	0.0	0.0	0.0	0.0
2024-11-17 07:00:00+00:00	2	pca3_kmeans_v1	4.4	74.0	1012.7	0.0	0.0	0.0	0.0
2024-11-17 07:30:00+00:00	2	pca3_kmeans_v1	4.1	75.0	1012.8	0.0	0.0	0.0	0.0
2024-11-17 08:00:00+00:00	2	pca3_kmeans_v1	4.3	74.0	1012.7	0.0	0.0	8.0	0.0
2024-11-17 08:30:00+00:00	2	pca3_kmeans_v1	5.2	73.0	1012.9	0.0	0.0	26.0	0.0
2024-11-17 09:00:00+00:00	2	pca3_kmeans_v1	5.4	73.0	1012.9	0.0	0.0	63.0	0.0
2024-11-17 09:30:00+00:00	2	pca3_kmeans_v1	5.5	78.0	1012.8	0.0	0.0	64.0	0.0
2024-11-17 10:00:00+00:00	2	pca3_kmeans_v1	5.8	77.0	1012.8	0.0	0.0	69.0	0.1
2024-11-17 10:30:00+00:00	2	pca3_kmeans_v1	6.4	76.0	1013.1	0.0	0.0	108.0	0.5
2024-11-17 11:00:00+00:00	2	pca3_kmeans_v1	6.5	75.0	1012.8	0.0	0.0	104.0	0.6
2024-11-17 11:30:00+00:00	2	pca3_kmeans_v1	6.8	76.0	1012.6	0.0	0.0	114.0	0.6
2024-11-17 12:00:00+00:00	2	pca3_kmeans_v1	7.1	74.0	1012.2	0.0	0.0	127.0	0.7
2024-11-17 12:30:00+00:00	2	pca3_kmeans_v1	5.6	81.0	1012.0	0.0	0.0	51.0	0.0
2024-11-17 13:00:00+00:00	2	pca3_kmeans_v1	5.7	82.0	1011.8	0.0	0.0	73.0	0.1
